Date,Open,High,Low,Close,Volume,OpenInt
2020-01-02,75.1661,75.2414,74.718,75.0,3541511,0
2020-01-03,73.9269,74.2374,73.8707,73.9603,3188622,0
2020-01-06,74.9357,75.1403,74.7344,74.9856,2887758,0
2020-01-07,73.7071,74.1419,73.6148,73.6752,1672802,0
2020-01-08,73.4122,73.7531,72.9008,73.3937,711078,0
2020-01-09,72.464,72.6237,72.1532,72.5659,2271920,0
2020-01-10,73.4869,73.5888,73.3367,73.4045,1446355,0
2020-01-13,74.6098,75.0586,74.5386,74.6168,2860631,0
2020-01-14,73.6869,74.0035,73.583,73.7688,4026207,0
2020-01-15,72.9154,72.9745,72.6457,72.8288,2852230,0
2020-01-16,72.8672,73.0289,72.5668,72.8216,2998606,0
2020-01-17,72.0827,72.6849,72.0045,72.174,400935,0
2020-01-20,72.1893,72.2658,72.0058,72.0612,3294314,0
2020-01-21,71.7972,71.8879,71.602,71.7499,2309512,0
2020-01-22,72.1605,72.1869,71.7875,72.1612,793747,0
2020-01-23,72.7569,72.9723,72.6041,72.6413,1226327,0
2020-01-24,72.2841,72.407,72.248,72.2725,3947569,0
2020-01-27,71.4947,71.6321,71.1711,71.4967,4600136,0
2020-01-28,72.6314,72.9098,72.4205,72.6793,2637071,0
2020-01-29,71.9144,71.9961,71.8034,71.8726,4887583,0
2020-01-30,72.6083,73.0537,72.5726,72.5737,1064185,0
2020-01-31,73.1727,73.4417,73.1287,73.1716,1638305,0
2020-02-03,73.3959,73.7847,73.3162,73.4539,4664316,0
2020-02-04,73.7329,73.8218,73.4233,73.7233,1040889,0
2020-02-05,73.9937,74.1681,73.6513,73.9989,3365030,0
2020-02-06,74.0145,74.1512,73.8175,74.1134,1253619,0
2020-02-07,74.706,74.8191,74.4898,74.8162,1789652,0
2020-02-10,74.5689,74.7335,74.3828,74.5268,2493210,0
2020-02-11,73.7152,74.2086,73.5748,73.9075,1927941,0
2020-02-12,75.5314,75.722,75.4776,75.5159,4397626,0
2020-02-13,76.5559,76.6552,76.5108,76.5925,4869387,0
2020-02-14,76.3798,76.4027,75.9998,76.28,2600173,0
2020-02-17,76.9168,77.0868,76.8103,76.9548,2721041,0
2020-02-18,77.9123,78.1997,77.7238,77.861,465881,0
2020-02-19,77.3743,77.488,77.2362,77.405,1324173,0
2020-02-20,77.2531,77.5061,77.0764,77.2443,391450,0
